sku,parent_sku,locale,attribute_family_code,type,categories,images,name,description,short_description,status,visible_individually,length,width,height,weight,price,special_price,special_price_from,special_price_to,url_key,meta_title,meta_keywords,meta_description,manage_stock,inventories,related_skus,cross_sell_skus,up_sell_skus,tax_status,tax_category_id,global_unique_id,cases_in_stock,custom_product_subtitle,pack_quantity,low_stock_amount,pmp_or_not,max_order,por_percentage,product_size,prom_id,prom_start,promo_end,total_sales,rrp_price,outer_pack_size,shipping_class,configurable_variants
39250,,en,variant_family,simple,"BEER, CIDER, ALCOHOL FREE & READY TO DRINK/CIDER",,BLACK STORM CIDER CAN PM£1.29,BLACK STORM CIDER CAN PM£1.29,BLACK STORM CIDER CAN PM£1.29,1,1,,,,10,17.99,17.89,2025-05-05,2025-11-05,black-storm-cider-can-pmps129-39250,,,,1,default=113,,,,19,1,,113,24X500ML,,,PMP,,30.27,,2025 WEEK 18 PROMOTION,2025-05-05,2025-11-05,,1.29,,No Shipping class,
39580,,en,variant_family,simple,"BEER, CIDER, ALCOHOL FREE & READY TO DRINK/CIDER",,KNIGHTS CIDER CAN 8.4% 4PACK,KNIGHTS CIDER CAN 8.4% 4PACK,KNIGHTS CIDER CAN 8.4% 4PACK,1,1,,,,10,19.49,19.39,2025-05-05,2025-11-05,knights-cider-can-84-4pack-39580,,,,1,default=88,,,,19,1,,88,6X500ML,,,PLAIN,,29,,2025 WEEK 18 PROMOTION,2025-05-05,2025-11-05,,5.49,,No Shipping class,
39592,,en,variant_family,simple,"BEER, CIDER, ALCOHOL FREE & READY TO DRINK/CIDER",,FROSTY JACK WHITE CIDER CAN 4PACK,FROSTY JACK WHITE CIDER CAN 4PACK,FROSTY JACK WHITE CIDER CAN 4PACK,1,1,,,,10,18.79,17.79,2025-05-05,2025-11-05,frosty-jack-white-cider-can-4pack-39592,,,,1,default=20,,,,19,1,,20,6X500ML,,,PLAIN,,31.55,,2025 WEEK 18 PROMOTION,2025-05-05,2025-11-05,,5.49,,No Shipping class,
39600,,en,variant_family,simple,"BEER, CIDER, ALCOHOL FREE & READY TO DRINK/CIDER",,WHITE STORM CIDER PM £5.69,WHITE STORM CIDER PM £5.69,WHITE STORM CIDER PM £5.69,1,1,,,,10,13.29,,,,white-storm-cider-pm-ps569-39600,,,,1,default=54,,,,19,1,,54,4X2.5LTR,,,PMP,,29.93,,,,,,5.69,,No Shipping class,
111764,,en,variant_family,configurable,"SPIRITS/TEQUILA, LIQUEURS & APERITIFS",,GABRIEL BOUDIER DIJON CREME DE CASSIS,GABRIEL BOUDIER DIJON CREME DE CASSIS,GABRIEL BOUDIER DIJON CREME DE CASSIS,1,1,,,,,,,,,gabriel-boudier-dijon-creme-de-cassis-111764,,,,,,,,,,,,1,,,,PLAIN,,13.77,,,,,,15.99,,No Shipping class,"sku=111764a,pack_size=Pack 1|sku=111764c,pack_size=Pack 2"
111764a,111764,en,variant_family,simple,"SPIRITS/TEQUILA, LIQUEURS & APERITIFS",,GABRIEL BOUDIER DIJON CREME DE CASSIS,GABRIEL BOUDIER DIJON CREME DE CASSIS,GABRIEL BOUDIER DIJON CREME DE CASSIS,1,0,,,,10,11.49,,,,gabriel-boudier-dijon-creme-de-cassis-111764a,,,,1,default=6,,,,19,1,,1,1X50CL,,,PLAIN,,13.77,,,,,,15.99,,No Shipping class,
111764c,111764,en,variant_family,simple,"SPIRITS/TEQUILA, LIQUEURS & APERITIFS",,GABRIEL BOUDIER DIJON CREME DE CASSIS,GABRIEL BOUDIER DIJON CREME DE CASSIS,GABRIEL BOUDIER DIJON CREME DE CASSIS,1,0,,,,10,68.75,,,,gabriel-boudier-dijon-creme-de-cassis-111764c,,,,1,default=6,,,,19,1,,1,6X1X50CL,6,,PLAIN,,13.77,,,,,,15.99,,No Shipping class,
111770,,en,variant_family,configurable,SPIRITS/RUM,,HOXTON BANANA RUM,HOXTON BANANA RUM,HOXTON BANANA RUM,1,1,,,,,,,,,hoxton-banana-rum-111770,,,,,,,,,,,,1,,,,PLAIN,,20.43,,,,,,37.99,,No Shipping class,"sku=111770a,pack_size=Pack 1|sku=111770c,pack_size=Pack 2"
111770a,111770,en,variant_family,simple,SPIRITS/RUM,,HOXTON BANANA RUM,HOXTON BANANA RUM,HOXTON BANANA RUM,1,0,,,,10,25.19,,,,hoxton-banana-rum-111770a,,,,1,default=6,,,,19,1,,1,1X70CL,,,PLAIN,,20.43,,,,,,37.99,,No Shipping class,
111770c,111770,en,variant_family,simple,SPIRITS/RUM,,HOXTON BANANA RUM,HOXTON BANANA RUM,HOXTON BANANA RUM,1,0,,,,10,149.99,,,,hoxton-banana-rum-111770c,,,,1,default=6,,,,19,1,,1,6X1X70CL,6,,PLAIN,,20.43,,,,,,37.99,,No Shipping class,
