"sku","parent_sku","locale","attribute_family_code","type","categories","images","name","description","short_description","status","visible_individually","length","width","height","weight","price","special_price","special_price_from","special_price_to","url_key","meta_title","meta_keywords","meta_description","manage_stock","inventories","related_skus","cross_sell_skus","up_sell_skus","tax_status","tax_category_id","global_unique_id","cases_in_stock","custom_product_subtitle","pack_quantity","low_stock_amount","pmp_or_not","max_order","por_percentage","product_size","prom_id","prom_start","promo_end","total_sales","rrp_price","outer_pack_size","shipping_class","configurable_variants","priority","errors"
"902767","","en","variant_family","configurable","CRISPS AND SNACKS/ETHNIC SNACKS","902767.webp","JAIMIN RAGI CORIANDER KHAKHRA","JAIMIN RAGI CORIANDER KHAKHRA","JAIMIN RAGI CORIANDER KHAKHRA","1","1","","","","0","0","0","01/09/2025","07/09/2025","jaimin-ragi-coriander-khakhra-902767","","","","25","0","","","","0","0","","1","1x200G","","","PLAIN","0","25.21","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","1.19","","No Shipping class","sku=902767a,pack_size=Pack 1|sku=902767c,pack_size=Pack 2","279","The special price field must be less than 0."
"111138","","en","variant_family","configurable","CRISPS AND SNACKS/ETHNIC SNACKS","111138.webp","JAIMIN JEERA BHAKHRI","JAIMIN JEERA BHAKHRI","JAIMIN JEERA BHAKHRI","1","1","","","","0","0","0","01/09/2025","07/09/2025","jaimin-jeera-bhakhri-111138","","","","24","0","","","","0","0","","2","1x250G","","","PLAIN","0","25.21","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","1.19","","No Shipping class","sku=111138a,pack_size=Pack 1|sku=111138c,pack_size=Pack 2","280","The special price field must be less than 0."
"902125","","en","variant_family","simple","WATER/STILL WATER","902125.webp","NESTLE PURE LIFE12PK","NESTLE PURE LIFE12PK","NESTLE PURE LIFE12PK","1","1","","","","10","2.99","0","01/09/2025","07/09/2025","nestle-pure-life12pk-902125","","","","21","default=16","","","","19","1","","21","12x500ML","","","PLAIN","10","38.98","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","0.49","","No Shipping class","0","281",""
"90299","","en","variant_family","simple","CONFECTIONERY/SWEET BAGS","90299.webp","AERO BUBBLES PEPPERMINT BAG PM£1.50","AERO BUBBLES PEPPERMINT BAG PM£1.50","AERO BUBBLES PEPPERMINT BAG PM£1.50","1","1","","","","10","10.99","0","01/09/2025","07/09/2025","aero-bubbles-peppermint-bag-pmps150-90299","","","","2","default=17","","","","19","1","","2","12x80G","","","PMP","0","26.73","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","1.5","","No Shipping class","0","282",""
"107750","","en","variant_family","simple","WATER/STILL WATER","107750.webp","AVANT MINERAL WATER","AVANT MINERAL WATER","AVANT MINERAL WATER","1","1","","","","10","2.99","2.89","01/09/2025","07/09/2025","avant-mineral-water-107750","","","","56","default=76","","","","19","1","","56","24x330ML","","","PLAIN","10","48.45","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","0.29","","No Shipping class","0","283",""
"107751","","en","variant_family","simple","WATER/STILL WATER","107751.webp","AVANT MINERAL WATER","AVANT MINERAL WATER","AVANT MINERAL WATER","1","1","","","","10","2.99","2.89","01/09/2025","07/09/2025","avant-mineral-water-107751","","","","310","default=494","","","","19","1","","310","24x500ML","","","PLAIN","10","45","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","0.29","","No Shipping class","0","284",""
"901518","","en","variant_family","simple","HOUSEHOLD, CLEANING & PAPER/TOILET ROLL","901518.webp","SWIFT PROFFESSIONAL MINI JUMBO CENTREFEED ROLL","SWIFT PROFFESSIONAL MINI JUMBO CENTREFEED ROLL","SWIFT PROFFESSIONAL MINI JUMBO CENTREFEED ROLL","1","1","","","","10","6.79","6.39","01/09/2025","07/09/2025","swift-proffessional-mini-jumbo-centrefeed-roll-901518","","","","60","default=66","","","","19","1","","60","1x6S","","","PLAIN","0","32.04","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","11.99","","No Shipping class","0","285",""
"151065","","en","variant_family","simple","WINE/PORT, SHERRY, VERMOUTH & FORTIFIED WINE","151065.webp","MAGNUM TONIC DRINK","MAGNUM TONIC DRINK","MAGNUM TONIC DRINK","1","1","","","","10","53.89","52.99","01/09/2025","07/09/2025","magnum-tonic-drink-151065","","","","235","default=250","","","","19","1","","235","24x200ML","","","PLAIN","0","39.54","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","4.49","","No Shipping class","0","286",""
"155704","","en","variant_family","configurable","SPIRITS/RUM","0","WRAY AND NEPHEW OVERPROOF RUM","WRAY AND NEPHEW OVERPROOF RUM","WRAY AND NEPHEW OVERPROOF RUM","1","1","","","","0","0","0","01/09/2025","07/09/2025","wray-and-nephew-overproof-rum-155704","","","","336","0","","","","0","0","","56","1x70CL","","","PLAIN","0","22.56","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","32.99","","No Shipping class","sku=155704a,pack_size=Pack 1|sku=155704c,pack_size=Pack 2","287","The special price field must be less than 0."
"39208","","en","variant_family","configurable","SPIRITS/RUM","0","WRAY AND NEPHEW OVERPROOF RUM WHITE","WRAY AND NEPHEW OVERPROOF RUM WHITE","WRAY AND NEPHEW OVERPROOF RUM WHITE","1","1","","","","0","0","0","01/09/2025","07/09/2025","wray-and-nephew-overproof-rum-white-39208","","","","1349","0","","","","0","0","","56","1x35CL","","","PLAIN","0","20.24","","WEEK 36 PROMOTION","01/09/2025","07/09/2025","","18.49","","No Shipping class","sku=39208a,pack_size=Pack 1|sku=39208c,pack_size=Pack 2|sku=39208b,pack_size=Pack 3","288","The special price field must be less than 0."
