item,VAT,hierarchy1,hierarchy2,description,,pack_description,qty_in_stock,cases_in_stock,EAN1,EAN2,EAN3,Retail Ean 1,Retail Ean 2,Pack 1,Sell 1,Pack 2,Sell 2,Pack 3,Sell 3,promID,promStart,promEnd,promSell Pack 1,promSell for Sell 1,promSell Pack 2,promSell for Sell 2,promSell Pack 3,promSell for Sell 3,Max. Order,RRP,POR %,PMP/Plain,Type,Brand,Size,Clearance stock in  number,Clerance pack size,Clearance Price,Product pack 1 in layer,Product pack 1 in Pallet,Product location in warehouse,Product pack 1 weight,Product pack 1 dimansion in cm,Product pack 1 volumetric weight
151423,A,4,4002,MOGU MOGU ORANGE,,6x320ML,2,0,,,,,,,3.69,4,14.29,,,,,,,,,,,,10,1.16,36.38,PLAIN,VARIENT,,,,,,,,,,,
151425,A,4,4002,MOGU MOGU PASSION FRUIT,,6x320ML,4,1,,,,,,,3.69,4,14.76,,,,,,,,,,,,10,1.16,36.38,PLAIN,VARIENT,,,,,,,,,,,
151424,A,4,4002,MOGU MOGU PINK GUAVA,,6x320ML,4,1,,,,,,,3.69,4,14.49,,,,,,,,,,,,10,1.16,36.38,PLAIN,VARIENT,,,,,,,,,,,
151627,A,4,4002,MOGU MOGU MELON,,6X320ML,36,9,,,,,,,3.69,4,14.29,,,,,,,,,,,,10,1.16,36.38,PLAIN,VARIENT,,,,,,,,,,,
903359,Z,18,18010,CRYSTAL PURE SUNFLOWER OIL,,1x5 LTR,8570,2856,,,,,,,6.5,3,18,,,2025 WEEK 18 PROMOTION,05/05/2025,11/05/2025,,5.99,,,,,,7.99,18.65,PLAIN,VARIENT,,,,,,,,,,,
110110,Z,18,18010,UKRAINIAN GOLD SUNFLOWER OIL,,15X1LTR,86,86,,,,,,,16.99,,,,,,,,,,,,,,,1.99,43.08,PLAIN,SINGLE,,,,,,,,,,,
103211,A,7,7004,TECH-BAR BANANA ICE,,10X2ML,1,1,,,,,,,20.49,,,,,,,,,,,,,,,5.99,58.95,PLAIN,SINGLE,,,,,,,,,,,
191922,A,7,7004,LOST MARY BM600S BERRY COMBOS,,10x20MG,5,5,,,,,,,18.99,,,,,,,,,,,,,,,5.99,61.96,PLAIN,SINGLE,,,,,,,,,,,
901659,A,7,7004,SKE CRYSTAL BAR BLUEBERRY CHERRY CRANBERRY,,10x20MG,8,8,,,,,,,17.99,,,,,,,,,,,,,,,5.99,63.96,PLAIN,SINGLE,,,,,,,,,,,
901681,A,7,7004,IVG 2400 PURPLE EDITION,,5X20MG,9,9,,,,,,,24.99,,,,,,,,,,,,,,,12.99,53.83,PLAIN,SINGLE,,,,,,,,,,,
901684,A,7,7004,IVG 2400 CHERRY EDITION,,5X20MG,29,29,,,,,,,24.99,,,,,,,,,,,,,,,12.99,53.83,PLAIN,SINGLE,,,,,,,,,,,
901686,A,7,7004,IVG 2400 RED EDITION,,5X20MG,11,11,,,,,,,24.99,,,,,,,,,,,,,,,12.99,53.83,PLAIN,SINGLE,,,,,,,,,,,
901687,A,7,7004,IVG 2400 LEMON & LIME,,5X20MG,13,13,,,,,,,24.99,,,,,,,,,,,,,,,12.99,53.83,PLAIN,SINGLE,,,,,,,,,,,
901812,A,7,7004,ELF BAR AF5000 CHERRY ICE,,5x20MG,27,27,,,,,,,24.99,,,,,,,,,,,,,,,7.99,24.94,PLAIN,SINGLE,,,,,,,,,,,
901815,A,7,7004,ELF BAR AF5000 WATERMELON ICE,,5x20MG,15,15,,,,,,,24.99,,,,,,,,,,,,,,,7.99,24.94,PLAIN,SINGLE,,,,,,,,,,,
901816,A,7,7004,ELF BAR AF5000 SOUR PINEAPPLE ICE,,5X20MG,14,14,,,,,,,24.99,,,,,,,,,,,,,,,7.99,24.94,PLAIN,SINGLE,,,,,,,,,,,
901831,A,7,7004,IVG 2400 GRAPE EDITION,,5X20MG,13,13,,,,,,,24.99,,,,,,,,,,,,,,,12.99,53.83,PLAIN,SINGLE,,,,,,,,,,,
901832,A,7,7004,IVG 2400 STRAWBERRY EDITION,,5X20MG,14,14,,,,,,,24.99,,,,,,,,,,,,,,,12.99,53.83,PLAIN,SINGLE,,,,,,,,,,,
901833,A,7,7004,IVG 2400 WATERMELON EDITION,,5x20MG,8,8,,,,,,,24.99,,,,,,,,,,,,,,,12.99,53.83,PLAIN,SINGLE,,,,,,,,,,,
901834,A,7,7004,IVG 2400 APPLE EDITION,,5X20MG,4,4,,,,,,,24.99,,,,,,,,,,,,,,,12.99,53.83,PLAIN,SINGLE,,,,,,,,,,,
901835,A,7,7004,IVG 2400 KIWI EDITION,,5X20MG,4,4,,,,,,,24.99,,,,,,,,,,,,,,,12.99,53.83,PLAIN,SINGLE,,,,,,,,,,,
901836,A,7,7004,IVG 2400 FIZZY EDITION,,5X20MG,4,4,,,,,,,24.99,,,,,,,,,,,,,,,12.99,53.83,PLAIN,SINGLE,,,,,,,,,,,
901838,A,7,7004,SKE CRYSTAL BAR FRUIT GUM,,10x20MG,17,17,,,,,,,17.99,,,,,,,,,,,,,,,5.99,63.96,PLAIN,SINGLE,,,,,,,,,,,
901843,A,7,7004,****ELF BAR 600 PINK LEMONADE,,10x20MG,11,11,,,,,,,17.99,,,,,,,,,,,,,,,4.99,56.74,PLAIN,SINGLE,,,,,,,,,,,
901844,A,7,7004,LOST MARY BM600 TRIPPLE MELON,,10x20MG,10,10,,,,,,,18.99,,,,,,,,,,,,,,,5.99,61.96,PLAIN,SINGLE,,,,,,,,,,,
901846,A,7,7004,***LOST MARY BM600 BLACKCURRENT APPLE,,10x20MG,12,12,,,,,,,18.99,,,,,,,,,,,,,,,5.99,61.96,PLAIN,SINGLE,,,,,,,,,,,
901858,A,7,7004,ELF BAR AF5000 TRIPLE MANGO,,5X20MG,20,20,,,,,,,24.99,,,,,,,,,,,,,,,7.99,24.94,PLAIN,SINGLE,,,,,,,,,,,
