item,VAT,hierarchy1,hierarchy2,description,,pack_description,qty_in_stock,cases_in_stock,EAN1,EAN2,EAN3,Retail Ean 1,Retail Ean 2,Pack 1,Sell 1,Pack 2,Sell 2,Pack 3,Sell 3,promID,promStart,promEnd,promSell Pack 1,promSell for Sell 1,promSell Pack 2,promSell for Sell 2,promSell Pack 3,promSell for Sell 3,Max. Order,RRP,POR %,PMP/Plain,Type,Brand,Size,Clearance stock in  number,Clerance pack size,Clearance Price,Product pack 1 in layer,Product pack 1 in Pallet,Product location in warehouse,Product pack 1 weight,Product pack 1 dimansion in cm,Product pack 1 volumetric weight
61316,A,10,10001,CADBURY FLAKE BAR,,48xSTD,4,4,,,,,,,26.99,,,,,,,,,,,,,,,0.75,10.03,PLAIN,SINGLE,,,,,,,,,,,
900456,A,10,10001,CADBURY STD WHOLE NUT,,48X45G,4,4,,,,,,,25.39,,,,,,,,,,,,,,,0.89,28.68,PLAIN,SINGLE,,,,,,,,,,,
67744,A,10,10001,***CADBURY BOOST BAR PM 69P,,48X48GRM,1,1,,,,,,,19.89,,,,,,,,,,,,,,,0.69,27.93,PMP,SINGLE,,,,,,,,,,,
900458,A,10,10001,CADBURY TWIRL EXTRA,,36x54G,4,4,,,,,,,29.49,,,,,,,,,,,,,,,1.1,10.64,PLAIN,SINGLE,,,,,,,,,,,
175404,A,10,10001,CADBURYS TWIRL,,48xSTD,5,5,,,,,,,28.99,,,,,,,,,,,,,,,0.99,26.79,PLAIN,SINGLE,,,,,,,,,,,
175413,A,10,10001,***CADBURYS DAIRY MILK CARAMEL PMP69P,,48X45G,1,1,,,,,,,20.29,,,,,,,,,,,,,,,0.69,26.49,PMP,SINGLE,,,,,,,,,,,
900462,A,10,10005,***CADBURY WHITE BUTTONS �1.50,,10x85G,1,1,,,,,,,9.59,,,,,,,,,,,,,,,1.5,23.28,PMP,SINGLE,,,,,,,,,,,
132316,A,10,10004,HALLS MENTHOL SUGAR FREE CHERRY,,20xSTICK,3,3,,,,,,,9.79,,,,,,,,,,,,,,,0.79,25.65,PLAIN,SINGLE,,,,,,,,,,,
900143,A,10,10004,SOUR PATCH KIDS ORIGINAL PMP �1.50,,10x130G,8,8,,,,,,,8.99,,,,,,,,,,,,,,,1.25,13.7,PMP,SINGLE,,,,,,,,,,,
900223,A,10,10001,MILKY WAY MAGIC STAR,,36x33G,7,7,,,,,,,22.59,,,,,,,,,,,,,,,1.05,28.29,PLAIN,SINGLE,,,,,,,,,,,
113649,A,7,7005,CLIPPER BUTANE GAS,,12X300ML,246,30,,,,,,,7.79,,,,,,,,,,,,,,,1.19,34.54,PLAIN,SINGLE,,,,,,,,,,,
902847,A,7,7005,CLIPPER PROMO 36+4 FREE,,40X1,3,3,,,,,,,13.99,,,,,,,,,,,,,,,0.99,57.61,PLAIN,SINGLE,,,,,,,,,,,
122371,A,1,1003,COBRA INDIAN BEER CAN 4PACK,,6X500ML,3,3,,,,,,,22.99,,,,,,,,,,,,,,,5.79,20.59,PLAIN,SINGLE,,,,,,,,,,,
902251,A,1,1003,SAN MIGUEL CAN 568ML 4 PACK,,24x568ML,74,74,,,,,,,25.49,,,,,2025 WEEK 18 PROMOTION,05/05/2025,11/05/2025,,25.29,,,,,,6.5,21.57,PLAIN,SINGLE,,,,,,,,,,,
171175,A,1,1003,SKOL SUPER CAN 4PACK 8%,,6X500ML,7,7,,,,,,,34.99,,,,,,,,,,,,,,,8.99,22.16,PLAIN,SINGLE,,,,,,,,,,,
76014,A,1,1003,CARLSBERG EXPORT PINT CAN 4PACK PM�7.25,,6X568ML,1,1,,,,,,,22.99,,,,,,,,,,,,,,,6.59,30.23,PMP,SINGLE,,,,,,,,,,,
85066,A,1,1003,HOLSTEN PILS 4X275ML PMP �4.39,,4x275ML,5,5,,,,,,,15.99,,,,,2025 WEEK 18 PROMOTION,05/05/2025,11/05/2025,,14.49,,,,,,5.99,19.92,PMP,SINGLE,,,,,,,,,,,
55623,A,1,1003,KRONENBOURG BIERE 1664 4PACK PINT PM�7.49,,6x568ML,23,23,,,,,,,23.49,,,,,,,,,,,,,,,7.49,37.28,PMP,SINGLE,,,,,,,,,,,
29676,A,1,1003,SAN MIGUEL CAN 4PACK,,6X500ML,11,11,,,,,,,24.49,,,,,,,,,,,,,,,6.29,22.13,PLAIN,SINGLE,,,,,,,,,,,
39629,A,1,1003,SAN MIGUEL NRB,,8X660ML,8,8,,,,,,,13.49,,,,,,,,,,,,,,,2.99,32.32,PLAIN,SINGLE,,,,,,,,,,,
114239,A,1,1003,SAN MIGUEL NRB 5%,,12x330ML,8,8,,,,,,,10.29,,,,,,,,,,,,,,,1.5,31.4,PLAIN,SINGLE,,,,,,,,,,,
150560,Z,18,18012,NATCO CHILLI POWDER,,6X1KG,1,1,,,,,,,28.89,,,,,,,,,,,,,,,6.69,28.03,PLAIN,SINGLE,,,,,,,,,,,
902862,Z,18,18012,NATCO CASSIA (DALCHINI),,10X400G,2,2,,,,,,,32.99,,,,,,,,,,,,,,,3.99,17.32,PLAIN,SINGLE,,,,,,,,,,,
902863,Z,18,18012,NATCO CINNAMON GROUND,,10X50G,3,3,,,,,,,6.49,,,,,,,,,,,,,,,0.89,27.08,PLAIN,SINGLE,,,,,,,,,,,
902865,Z,18,18012,NATCO FENNEL SEEDS,,20X400G,3,3,,,,,,,32.49,,,,,,,,,,,,,,,2.09,22.27,PLAIN,SINGLE,,,,,,,,,,,
902866,Z,18,18012,NATCO FENNEL SEEDS,,6X1 KG,2,2,,,,,,,25.49,,,,,,,,,,,,,,,5.49,22.62,PLAIN,SINGLE,,,,,,,,,,,
902871,Z,18,18012,NATCO CUMIN SEEDS,,6X1 KG,1,1,,,,,,,39.99,,,,,,,,,,,,,,,7.99,16.58,PLAIN,SINGLE,,,,,,,,,,,
902872,Z,18,18005,NATCO MUNG BEANS,,20X500G,2,2,,,,,,,18.99,,,,,,,,,,,,,,,1.29,26.4,PLAIN,SINGLE,,,,,,,,,,,
902873,Z,18,18005,NATCO MUNG SPLIT,,6X2 KG,1,1,,,,,,,24.49,,,,,,,,,,,,,,,4.99,18.2,PLAIN,SINGLE,,,,,,,,,,,
902874,Z,18,18005,NATCO MUNG SPLIT,,20X500G,1,1,,,,,,,20.99,,,,,,,,,,,,,,,1.99,47.26,PLAIN,SINGLE,,,,,,,,,,,
902875,Z,18,18002,NATCO COCONUT MILK POWDER,,10X300G,1,1,,,,,,,31.49,,,,,,,,,,,,,,,4.99,36.89,PLAIN,SINGLE,,,,,,,,,,,
902876,Z,18,18002,NATCO COCONUT DESICATED - FINE,,6X1 KG,1,1,,,,,,,26.99,,,,,,,,,,,,,,,6.99,35.65,PLAIN,SINGLE,,,,,,,,,,,
902880,Z,18,18005,NATCO URID BEANS,,6X2KG,1,1,,,,,,,29.99,,,,,,,,,,,,,,,7.99,37.44,PLAIN,SINGLE,,,,,,,,,,,
902881,Z,18,18005,NATCO RED LENTIL (MASOOR DAL ),,6X2KG,1,1,,,,,,,16.99,,,,,,,,,,,,,,,4.99,43.25,PLAIN,SINGLE,,,,,,,,,,,
902883,Z,18,18005,NATCO MUNG DAL YELLOW,,6X2KG,2,2,,,,,,,20.99,,,,,,,,,,,,,,,5.49,36.28,PLAIN,SINGLE,,,,,,,,,,,
902884,Z,18,18005,NATCO MUNG DAL YELLOW,,20X500G,2,2,,,,,,,19.99,,,,,,,,,,,,,,,1.99,49.77,PLAIN,SINGLE,,,,,,,,,,,
902885,Z,18,18005,NATCO TOOR DAL OILY,,6X2 KG,1,1,,,,,,,35.99,,,,,2025 WEEK 18 PROMOTION,05/05/2025,11/05/2025,,32.69,,,,,,8.99,33.28,PLAIN,SINGLE,,,,,,,,,,,
902886,Z,18,18005,NATCO TOOR DAL OILY,,20X500G,1,1,,,,,,,31.49,,,,,,,,,,,,,,,2.99,47.34,PLAIN,SINGLE,,,,,,,,,,,
902887,Z,18,18005,NATCO MUNG BEANS,,6X2KG,1,1,,,,,,,19.99,,,,,,,,,,,,,,,4.18,20.3,PLAIN,SINGLE,,,,,,,,,,,
902889,Z,18,18012,NATCO BLACK PEPPER WHOLE,,6X1KG,2,2,,,,,,,66.99,,,,,,,,,,,,,,,13.97,20.08,PLAIN,SINGLE,,,,,,,,,,,
902890,Z,18,18012,NATCO BLACK PEPPER WHOLE,,20X300G,2,2,,,,,,,65.99,,,,,,,,,,,,,,,4.13,20.11,PLAIN,SINGLE,,,,,,,,,,,
902892,Z,18,18012,NATCO BLACK PEPPER GROUND,,10X400G,2,2,,,,,,,41.09,,,,,,,,,,,,,,,5.14,20.06,PLAIN,SINGLE,,,,,,,,,,,
902893,Z,18,18012,NATCO BLACK PEPPER COARSE,,10X300G,1,1,,,,,,,35.39,,,,,,,,,,,,,,,4.43,20.11,PLAIN,SINGLE,,,,,,,,,,,
902894,Z,18,18012,NATCO CASSIA (DALCHINI),,20X125G,1,1,,,,,,,21.09,,,,,,,,,,,,,,,1.33,20.71,PLAIN,SINGLE,,,,,,,,,,,
902895,Z,19,19001,NATCO CASSIA (DALCHINI),,3X1.5KG,1,1,,,,,,,31.89,,,,,,,,,,,,,,,13.29,20.02,PLAIN,SINGLE,,,,,,,,,,,
902896,Z,19,19004,NATCO RICE FLOUR,,1x5KG,3,1,,,,,,,6.99,3,20.89,,,,,,,,,,,,,8.72,19.84,PLAIN,VARIENT,,,,,,,,,,,
902898,Z,19,19004,NATCO GROUND RICE,,1X5KG,1,0,,,,,,,6.99,3,20.89,,,,,,,,,,,,,8.72,19.84,PLAIN,VARIENT,,,,,,,,,,,
902899,Z,19,19004,NATCO GROUND RICE,,6X1.5KG,1,1,,,,,,,12.99,,,,,2025 WEEK 18 PROMOTION,05/05/2025,11/05/2025,,11.89,,,,,,2.72,20.4,PLAIN,SINGLE,,,,,,,,,,,
902901,Z,18,18012,NATCO CHILLI CRUSHED,,10X300G,1,1,,,,,,,20.69,,,,,,,,,,,,,,,2.59,20.12,PLAIN,SINGLE,,,,,,,,,,,
902902,Z,18,18012,NATCO CHILLI CRUSHED,,6X700G,1,1,,,,,,,27.19,,,,,2025 WEEK 18 PROMOTION,05/05/2025,11/05/2025,,24.79,,,,,,5.68,20.22,PLAIN,SINGLE,,,,,,,,,,,
902903,Z,18,18005,NATCO TOOR DAL PLAIN,,6X2KG,1,1,,,,,,,35.99,,,,,,,,,,,,,,,7.5,20.02,PLAIN,SINGLE,,,,,,,,,,,
902907,Z,18,18005,NATCO CHANADAL POLISHED,,20X500G,1,1,,,,,,,17.89,,,,,,,,,,,,,,,1.13,20.84,PLAIN,SINGLE,,,,,,,,,,,
902908,Z,19,19004,NATCO GRAM FLOUR(PAPA),,12X1KG,1,1,,,,,,,16.99,,,,,,,,,,,,,,,1.78,20.46,PLAIN,SINGLE,,,,,,,,,,,
163048,Z,18,18012,NATCO JEERA POWDER(CUMIN),,6X1KG,1,1,,,,,,,24.99,,,,,,,,,,,,,,,5.49,24.13,PLAIN,SINGLE,,,,,,,,,,,
902207,Z,4,4004,YAZOO STRAWBERRY,,10X400ML,18,18,,,,,,,7.29,,,,,,,,,,,,,,10,1.49,51.07,PLAIN,SINGLE,,,,,,,,,,,
902250,Z,4,4004,YAZOO BANANA,,10X400ML,10,10,,,,,,,6.29,,,,,,,,,,,,,,10,1.49,57.79,PLAIN,SINGLE,,,,,,,,,,,
900734,A,4,4004,CHOCOMEL TETRA �2.69,,6x750ML,2,2,,,,,,,7.99,,,,,,,,,,,,,,10,3.09,48.28,PMP,SINGLE,,,,,,,,,,,
115603,Z,4,4004,YAZOO BANANA PM�1.99,,6x1LTR,8,8,,,,,,,7.49,,,,,,,,,,,,,,10,1.99,37.27,PMP,SINGLE,,,,,,,,,,,
900738,Z,4,4004,YAZOO BANANA PM �1.29,,10X400ML,1,1,,,,,,,8.69,,,,,,,,,,,,,,10,2.09,58.42,PMP,SINGLE,,,,,,,,,,,
900739,Z,4,4004,YAZOO CHOCOLATE,,10X400ML,6,6,,,,,,,7.29,,,,,,,,,,,,,,10,1.49,51.07,PLAIN,SINGLE,,,,,,,,,,,
900732,Z,4,4004,YAZOO CHOCOLATE PM �1.99,,6x1LTR,8,8,,,,,,,7.49,,,,,,,,,,,,,,10,1.99,37.27,PMP,SINGLE,,,,,,,,,,,
900740,Z,4,4004,YAZOO STRAWBERRY PM �1.29,,10X400ML,1,1,,,,,,,7.49,,,,,,,,,,,,,,10,1.29,41.94,PMP,SINGLE,,,,,,,,,,,
900741,Z,4,4004,YAZOO STRAWBERRY PM �1.99,,6x1LTR,3,3,,,,,,,7.49,,,,,,,,,,,,,,10,1.99,37.27,PMP,SINGLE,,,,,,,,,,,
900727,Z,4,4004,YAZOO CHOCOLATE PM �1.29,,10X400ML,15,15,,,,,,,7.49,,,,,,,,,,,,,,10,1.29,41.94,PMP,SINGLE,,,,,,,,,,,
900731,Z,4,4004,YAZOO VANILLA PM �1.29,,10X400ML,1,1,,,,,,,7.49,,,,,,,,,,,,,,10,1.29,41.94,PMP,SINGLE,,,,,,,,,,,
16200,A,4,4001,COCA COLA REGULAR CAN,,24x330ML,6,6,,,,,,,11.99,,,,,,,,,,,,,,10,1.09,45,PLAIN,SINGLE,,,,,,,,,,,
28636,A,4,4001,DIET COKE CAN PM90P,,24x330ML,12,12,,,,,,,10.69,,,,,,,,,,,,,,10,0.9,40.61,PMP,SINGLE,,,,,,,,,,,
57831,A,4,4001,COCA COLA CAN,,24x250ML,3,3,,,,,,,13.99,,,,,,,,,,,,,,10,0.85,17.71,PLAIN,SINGLE,,,,,,,,,,,
901945,A,4,4001,COCA COLA ZERO LEMON PM�1.20,,12x500ML,3,3,,,,,,,6.29,,,,,,,,,,,,,,10,1.2,47.58,PMP,SINGLE,,,,,,,,,,,
901946,A,4,4001,COCA COLA LEMON PM�1.70,,12X500ML,3,3,,,,,,,12.49,,,,,,,,,,,,,,10,1.7,26.53,PMP,SINGLE,,,,,,,,,,,
901947,A,4,4001,DR PEPPER CAN150ML,,24X150ML,5,5,,,,,,,9.99,,,,,,,,,,,,,,10,0.69,27.61,PLAIN,SINGLE,,,,,,,,,,,
902099,A,4,4001,POWERADE GOLDEN MANGO,,12x500ML,12,12,,,,,,,8.99,,,,,2025 WEEK 18 PROMOTION,05/05/2025,11/05/2025,,7.99,,,,,10,1.59,43.46,PLAIN,SINGLE,,,,,,,,,,,
902218,A,4,4008,COSTA LATTE PMP�1.49,,12X250ML,4,4,,,,,,,9.99,,,,,,,,,,,,,,10,1.49,32.95,PMP,SINGLE,,,,,,,,,,,
902219,A,4,4008,COSTA LATTE CARAMEL PMP1.49,,12X250ML,6,6,,,,,,,9.99,,,,,,,,,,,,,,10,1.49,32.95,PMP,SINGLE,,,,,,,,,,,
902297,A,4,4001,COCA COLA ZERO CHERRY PMP1.99,,6X2L,2,2,,,,,,,6.39,,,,,,,,,,,,,,10,1.99,35.78,PMP,SINGLE,,,,,,,,,,,
902298,A,4,4001,FANTA PINE & GRAPE PMP�1.35,,12x500ML,17,17,,,,,,,8.99,,,,,2025 WEEK 18 PROMOTION,05/05/2025,11/05/2025,,7.89,,,,,10,1.35,33.41,PMP,SINGLE,,,,,,,,,,,
902299,A,4,4003,RELENTLESS RASPBERRY ZERO PMP �1,,12X500ML,4,4,,,,,,,6.29,,,,,,,,,,,,,,10,1,37.1,PMP,SINGLE,,,,,,,,,,,
902301,A,4,4001,DIET COKE PMP1.35,,12x500ML,5,5,,,,,,,8.49,,,,,,,,,,,,,,10,1.35,37.11,PMP,SINGLE,,,,,,,,,,,
902375,A,4,4001,DR PEPPER PM�2.09,,6x2LTR,16,16,,,,,,,6.99,,,,,,,,,,,,,,10,2.09,33.11,PMP,SINGLE,,,,,,,,,,,
902376,A,4,4001,SPRITE PM�2.09,,6x2LTR,1,1,,,,,,,6.99,,,,,,,,,,,,,,10,2.09,33.11,PMP,SINGLE,,,,,,,,,,,
902377,A,4,4001,FANTA ORANGE PM�2.09,,6x2LTR,5,5,,,,,,,6.99,,,,,,,,,,,,,,10,2.09,33.11,PMP,SINGLE,,,,,,,,,,,
902445,A,4,4001,FANTA FRUIT TWIST PM �2.09,,6x2LTR,2,2,,,,,,,6.99,,,,,,,,,,,,,,10,2.09,33.11,PMP,SINGLE,,,,,,,,,,,
902538,A,4,4001,COCA COLA ZERO SUGAR 6PACK�3.19,,4x330ML,3,3,,,,,,,7.29,,,,,,,,,,,,,,10,3.19,31.44,PMP,SINGLE,,,,,,,,,,,
902544,A,4,4002,OASIS CITRUS PUNCH PM�1.35,,12x500ML,16,16,,,,,,,8.99,,,,,,,,,,,,,,10,1.35,33.41,PMP,SINGLE,,,,,,,,,,,
902545,A,4,4002,OASIS SUMMER FRUIT PM�1.35,,12X500ML,3,3,,,,,,,8.99,,,,,,,,,,,,,,10,1.35,33.41,PMP,SINGLE,,,,,,,,,,,
902546,A,4,4005,CAPRI SUN ORANGE,,15x330ML,13,13,,,,,,,8.79,,,,,,,,,,,,,,10,1.49,52.81,PLAIN,SINGLE,,,,,,,,,,,
902547,A,4,4005,CAPRI SUN CHERRY SPORT CAP,,15X330ML,5,5,,,,,,,8.79,,,,,,,,,,,,,,10,1.49,52.81,PLAIN,SINGLE,,,,,,,,,,,
902652,A,4,4003,RELENTLESS ORIGINAL PM �1.00,,12x500ML,17,17,,,,,,,6.29,,,,,,,,,,,,,,10,1,37.1,PMP,SINGLE,,,,,,,,,,,
902653,A,4,4001,COCA COLA ZERO SUGAR PM�1.35,,12X500ML,39,39,,,,,,,7.99,,,,,,,,,,,,,,10,1.35,40.81,PMP,SINGLE,,,,,,,,,,,
902655,A,4,4001,COCA COLA REGULAR PM�1.70,,24X500ML,2,2,,,,,,,21.99,,,,,,,,,,,,,,10,1.7,35.32,PMP,SINGLE,,,,,,,,,,,
902656,A,4,4003,RELENTLESS CHERRY PM �1.00,,12X500ML,7,7,,,,,,,6.29,,,,,,,,,,,,,,10,1,37.1,PMP,SINGLE,,,,,,,,,,,
902681,A,4,4003,RELENTLESS FRUIT PUNCH PM�1,,12X500ML,11,11,,,,,,,6.29,,,,,,,,,,,,,,10,1,37.1,PMP,SINGLE,,,,,,,,,,,
902702,A,4,4001,COKE CHERRY �1.70,,12x500ML,7,7,,,,,,,11.99,,,,,,,,,,,,,,10,1.7,29.47,PMP,SINGLE,,,,,,,,,,,
902829,A,4,4001,FANTA ORANGE ZERO PM�1.35,,12x500ML,19,19,,,,,,,8.99,,,,,2025 WEEK 18 PROMOTION,05/05/2025,11/05/2025,,7.89,,,,,10,1.35,33.41,PMP,SINGLE,,,,,,,,,,,
902830,A,4,4003,MONSTER ENERGY ORIGINAL PM�1.75,,12X500ML,9,9,,,,,,,10.49,,,,,,,,,,,,,,10,1.75,40.06,PMP,SINGLE,,,,,,,,,,,
902831,A,4,4003,MONSTER MIXED PUNCH PM�1.75,,12X500ML,15,15,,,,,,,10.49,,,,,,,,,,,,,,10,1.75,40.06,PMP,SINGLE,,,,,,,,,,,
902832,A,4,4001,COCA COLA CHERRY CAN PM�1.05,,24x330ML,25,25,,,,,,,13.49,,,,,2025 WEEK 18 PROMOTION,05/05/2025,11/05/2025,,12.29,,,,,10,1.05,35.76,PMP,SINGLE,,,,,,,,,,,
902833,A,4,4001,COCA COLA ZERO SUGAR CAN PM80P,,24X330ML,52,52,,,,,,,8.79,,,,,,,,,,,,,,10,0.8,45.06,PMP,SINGLE,,,,,,,,,,,
902835,A,4,4001,COCA COLA REGULAR CAN PM�1.05,,24X330ML,36,36,,,,,,,12.99,,,,,2025 WEEK 18 PROMOTION,05/05/2025,11/05/2025,,12.29,,,,,10,1.05,38.14,PMP,SINGLE,,,,,,,,,,,
902852,A,4,4003,MONSTER PIPELINE PUNCH PM�1.75,,12X500ML,2,2,,,,,,,10.49,,,,,,,,,,,,,,10,1.75,40.06,PMP,SINGLE,,,,,,,,,,,
902891,A,4,4003,MONSTER MANGO LOCO �1.75,,12X500ML,9,9,,,,,,,10.49,,,,,,,,,,,,,,10,1.75,40.06,PMP,SINGLE,,,,,,,,,,,
902913,A,4,4001,DR PEPPER ZERO PM �1.35,,12x500ML,7,7,,,,,,,8.99,,,,,,,,,,,,,,10,1.35,33.41,PMP,SINGLE,,,,,,,,,,,
902951,A,4,4003,MONSTER PACIFIC PUNCH �1.75,,12X500ML,5,5,,,,,,,10.49,,,,,,,,,,,,,,10,1.75,40.06,PMP,SINGLE,,,,,,,,,,,
903052,A,4,4001,COKE DIET CAN PLAIN,,24X330ML,2,2,,,,,,,9.49,,,,,,,,,,,,,,10,0.9,47.28,PLAIN,SINGLE,,,,,,,,,,,
903054,A,4,4001,COCA COLA ZERO PLAIN,,24X330ML,5,5,,,,,,,9.49,,,,,,,,,,,,,,10,0.75,36.73,PLAIN,SINGLE,,,,,,,,,,,
903055,A,4,4001,COCA COLA ZERO PLAIN,,12x500ML,8,8,,,,,,,10.59,,,,,,,,,,,,,,10,1.39,23.81,PLAIN,SINGLE,,,,,,,,,,,
903056,A,4,4001,FANTA FRUIT TWIST PLAIN,,24X330ML,2,2,,,,,,,8.99,,,,,,,,,,,,,,10,0.75,40.07,PLAIN,SINGLE,,,,,,,,,,,
903057,A,4,4001,FANTA FRUIT TWIST PLAIN,,12x500ML,2,2,,,,,,,10.69,,,,,,,,,,,,,,10,1.3,17.77,PLAIN,SINGLE,,,,,,,,,,,
903061,A,4,4001,FANTA ORANGE CAN PLAIN,,24X330ML,2,2,,,,,,,8.99,,,,,,,,,,,,,,10,0.75,40.07,PLAIN,SINGLE,,,,,,,,,,,
903062,A,4,4001,FANTA ORANGE PLAIN,,12x500ML,1,1,,,,,,,10.19,,,,,,,,,,,,,,10,1.3,21.62,PLAIN,SINGLE,,,,,,,,,,,
903063,A,4,4001,DR PEPPER CAN PLAIN,,24X330ML,3,3,,,,,,,9.29,,,,,,,,,,,,,,10,0.75,38.07,PLAIN,SINGLE,,,,,,,,,,,
903064,A,4,4001,DR PEPPER PLAIN,,12x500ML,5,5,,,,,,,10.69,,,,,,,,,,,,,,10,1.3,17.77,PLAIN,SINGLE,,,,,,,,,,,
903065,A,4,4001,SPRITE PLAIN,,24X330ML,2,2,,,,,,,9.49,,,,,,,,,,,,,,10,0.75,36.73,PLAIN,SINGLE,,,,,,,,,,,
903066,A,4,4001,SPRITE PLAIN,,12x500ML,4,4,,,,,,,10.69,,,,,,,,,,,,,,10,1.3,17.77,PLAIN,SINGLE,,,,,,,,,,,
903085,A,4,4001,FANTA FRUIT TWIST PM �1.35,,12x500ML,45,45,,,,,,,8.99,,,,,2025 WEEK 18 PROMOTION,05/05/2025,11/05/2025,,7.89,,,,,10,1.35,33.41,PMP,SINGLE,,,,,,,,,,,
903086,A,4,4001,FANTA ORANGE PM�1.35,,12X500ML,52,52,,,,,,,8.99,,,,,2025 WEEK 18 PROMOTION,05/05/2025,11/05/2025,,7.89,,,,,10,1.35,33.41,PMP,SINGLE,,,,,,,,,,,
903087,A,4,4001,DR PEPPER CANS PM80P,,24X330ML,49,49,,,,,,,9.29,,,,,,,,,,,,,,10,0.8,41.94,PMP,SINGLE,,,,,,,,,,,
903088,A,4,4001,DR PEPPER PM�1.35,,12x500ML,13,13,,,,,,,7.99,,,,,,,,,,,,,,10,1.35,40.81,PMP,SINGLE,,,,,,,,,,,
903092,A,4,4003,MONSTER ULTRA WHITE ZERO PM�1.65,,12x500ML,4,4,,,,,,,10.49,,,,,,,,,,,,,,10,1.65,36.42,PMP,SINGLE,,,,,,,,,,,
903125,A,4,4003,MONSTER ENERGY NITRO COSMIC PEACH �1.75,,12X500ML,3,3,,,,,,,10.49,,,,,,,,,,,,,,10,1.75,40.06,PMP,SINGLE,,,,,,,,,,,
903126,A,4,4003,MONSTER ENERGY ULTRA STRAWBERY DREAM�1.65,,12x500ML,1,1,,,,,,,9.99,,,,,,,,,,,,,,10,1.65,39.45,PMP,SINGLE,,,,,,,,,,,
903127,A,4,4003,MONSTER RESERVE ORANGE PM�1.65,,12X500ML,4,4,,,,,,,10.39,,,,,,,,,,,,,,10,1.65,37.03,PMP,SINGLE,,,,,,,,,,,
903173,A,4,4001,SPRITE ZERO PM�1.35,,12X500ML,1,1,,,,,,,8.99,,,,,,,,,,,,,,10,1.35,33.41,PMP,SINGLE,,,,,,,,,,,
903174,A,4,4001,SPRITE PM�1.35,,12x500ML,22,22,,,,,,,7.99,,,,,,,,,,,,,,10,1.35,40.81,PMP,SINGLE,,,,,,,,,,,
903234,A,4,4001,COCA COLA LIME PM�1.05,,24x330ML,9,9,,,,,,,13.59,,,,,2025 WEEK 18 PROMOTION,05/05/2025,11/05/2025,,12.29,,,,,10,1.05,35.29,PMP,SINGLE,,,,,,,,,,,
903343,A,4,4001,COKE CHERRY PM�2.69,,6x1.75LT,1,1,,,,,,,9.69,,,,,,,,,,,,,,10,2.69,27.96,PMP,SINGLE,,,,,,,,,,,
903348,A,4,4002,OASIS ZERO EXOTIC PM�1.35,,12x500ML,7,7,,,,,,,8.49,,,,,,,,,,,,,,10,1.35,37.11,PMP,SINGLE,,,,,,,,,,,
903357,A,4,4001,*FANTA FRUIT TWIST CANS PM 80P,,24x330ML,10,10,,,,,,,9.29,,,,,,,,,,,,,,10,0.8,41.94,PMP,SINGLE,,,,,,,,,,,
903365,A,4,4001,SPRITE ZERO PLAIN,,12x500ML,3,3,,,,,,,8.99,,,,,,,,,,,,,,10,0.99,9.19,PLAIN,SINGLE,,,,,,,,,,,
903382,A,4,4003,MONSTER ENERGY KHAOTIC PM�1.75,,12x500ML,7,7,,,,,,,10.49,,,,,,,,,,,,,,10,1.75,40.06,PMP,SINGLE,,,,,,,,,,,
903383,A,4,4003,MONSTER ENERGY NITRO SUPER DRY PM�1.75,,12x500ML,4,4,,,,,,,10.99,,,,,,,,,,,,,,10,1.75,37.2,PMP,SINGLE,,,,,,,,,,,
903384,A,4,4003,MONSTER ENERGY GREEN ZERO SUGAR PM�1.65,,12x500ML,11,11,,,,,,,10.09,,,,,,,,,,,,,,10,1.65,38.85,PMP,SINGLE,,,,,,,,,,,
903493,A,4,4003,MONSTER ENERGY MONARCH PM�1.75,,12X500ML,5,5,,,,,,,10.49,,,,,,,,,,,,,,10,1.75,40.06,PMP,SINGLE,,,,,,,,,,,
903585,A,4,4001,MONSTER JUICED RIO PUNCH �1.75,,12x500ML,13,13,,,,,,,10.79,,,,,,,,,,,,,,10,1.75,38.34,PMP,SINGLE,,,,,,,,,,,
903679,A,4,4003,MONSTER ENERGY THE DOCTOR PM�1.75,,12x500ML,1,1,,,,,,,10.99,,,,,,,,,,,,,,10,1.75,37.2,PMP,SINGLE,,,,,,,,,,,
903757,A,4,4001,COCA COLA REGULAR PM�2.79,,6x1.75LT,451,451,,,,,,,9.99,,,,,,,,,,,,,,10,2.79,28.39,PMP,SINGLE,,,,,,,,,,,
903786,A,4,,DR PEPPER ZERO CHERRY CRUSH 330ML PM 80P,,24x330ML,4,4,,,,,,,9.29,,,,,,,,,,,,,,10,0.8,41.94,PMP,SINGLE,,,,,,,,,,,
903883,A,4,4001,COCA COLA REGULAR PM �4.95 6PACK,,4x330ML,29,29,,,,,,,13.19,,,,,,,,,,,,,,10,4.95,20.06,PMP,SINGLE,,,,,,,,,,,
903884,A,4,4001,*COCA COLA ZERO SUGAR 6PACK�3.39,,4x330ML,20,20,,,,,,,7.49,,,,,,,,,,,,,,10,3.39,33.72,PMP,SINGLE,,,,,,,,,,,
903905,A,4,4003,MONSTER ABSOLUTE ZERO PM�1.65,,12x500ML,9,9,,,,,,,10.49,,,,,,,,,,,,,,10,1.65,36.42,PMP,SINGLE,,,,,,,,,,,
